iter	Logloss
0	0.6639397117
1	0.6388216105
2	0.6132709285
3	0.5916790588
4	0.5713598423
5	0.552112371
6	0.5338419165
7	0.5173157858
8	0.502657523
9	0.4886834589
10	0.4762175184
11	0.4644440884
12	0.454535951
13	0.4448380129
14	0.4372078741
15	0.4303556166
16	0.4226494079
17	0.4152635543
18	0.408467277
19	0.4021899124
20	0.3965372279
21	0.3912348367
22	0.3861206405
23	0.3821609634
24	0.3776560359
25	0.3735523204
26	0.3697143225
27	0.3659678715
28	0.3625400289
29	0.3590703765
30	0.3561098913
31	0.3539819126
32	0.3508338536
33	0.3481219836
34	0.3455354153
35	0.3433776324
36	0.3411287804
37	0.3392777853
38	0.3375166479
39	0.3352098303
40	0.333879743
41	0.3320183315
42	0.3307692902
43	0.3290102447
44	0.3279830724
45	0.3268007322
46	0.3257057004
47	0.3243964652
48	0.3231559323
49	0.3220996276
50	0.3211131508
51	0.3195787214
52	0.318433384
53	0.3173569195
54	0.3161118434
55	0.3153326141
56	0.3144104396
57	0.3132535626
58	0.3127209184
59	0.3119536059
60	0.3111082526
61	0.3103994479
62	0.3098412323
63	0.3091524001
64	0.3084238893
65	0.3077504099
66	0.3071833432
67	0.3064495538
68	0.3055552235
69	0.3046419728
70	0.3037850888
71	0.3032770337
72	0.3023473404
73	0.3017864484
74	0.301277679
75	0.3007547982
76	0.3001498222
77	0.2994078797
78	0.2987376655
79	0.2982725851
80	0.2978629262
81	0.2973715182
82	0.2965600255
83	0.2961178569
84	0.2956623125
85	0.2950775216
86	0.2946021703
87	0.2942395858
88	0.2938081955
89	0.2931076693
90	0.2926025103
91	0.2920822091
92	0.2915519449
93	0.2909317392
94	0.2903802194
95	0.2900542274
96	0.2895846507
97	0.2888940739
98	0.2885536293
99	0.288163333
100	0.2876911801
101	0.2874449599
102	0.2869047137
103	0.2865767819
104	0.2861188233
105	0.2855144334
106	0.2849223661
107	0.2846163899
108	0.2843753186
109	0.2839372998
110	0.2835680363
111	0.2830727725
112	0.2827472816
113	0.2824598517
114	0.281974562
115	0.2815319126
116	0.2812923888
117	0.2810351004
118	0.280679629
119	0.2803628762
120	0.2799762836
121	0.2795955372
122	0.2792157601
123	0.2787781778
124	0.2785253432
125	0.2781104378
126	0.277754885
127	0.2773997289
128	0.2771626714
129	0.2765292257
130	0.2762513068
131	0.2759565088
132	0.2755808531
133	0.2752834732
134	0.2749568211
135	0.2747124215
136	0.2743174589
137	0.2738938117
138	0.2735783565
139	0.2733178413
140	0.2729960842
141	0.272646389
142	0.2717729459
143	0.2715081264
144	0.2713078117
145	0.2710944689
146	0.2707107819
147	0.2704960185
148	0.2702590342
149	0.2699183402
150	0.2696027113
151	0.2694066898
152	0.2691674486
153	0.2686753153
154	0.2684099125
155	0.2680987426
156	0.2677795773
157	0.2675050314
158	0.2673669751
159	0.2671853684
160	0.26691704
161	0.2665059952
162	0.2661502887
163	0.2658401404
164	0.2655244196
165	0.2652643801
166	0.265044411
167	0.2648424727
168	0.2644717338
169	0.2641292381
170	0.2638566115
171	0.2636025141
172	0.2631922928
173	0.2629146449
174	0.2627432007
175	0.2624738403
176	0.2622382937
177	0.2617885834
178	0.261541624
179	0.2613670127
180	0.2609794668
181	0.260650313
182	0.2602994619
183	0.2600737404
184	0.2597483583
185	0.2595974924
186	0.259266795
187	0.2590139915
188	0.2587203696
189	0.258506556
190	0.2581882934
191	0.2576799561
192	0.2573821724
