iter	Passed	Remaining
0	162	162222
1	167	83414
2	171	57078
3	178	44447
4	183	36592
5	189	31469
6	194	27614
7	200	24907
8	205	22642
9	210	20822
10	216	19466
11	221	18244
12	227	17289
13	232	16372
14	237	15601
15	243	15002
16	249	14424
17	255	13928
18	260	13433
19	266	13058
20	271	12640
21	275	12262
22	282	11996
23	287	11690
24	293	11460
25	298	11199
26	304	10974
27	309	10737
28	313	10509
29	319	10339
30	324	10140
31	328	9949
32	334	9810
33	340	9665
34	346	9552
35	351	9419
36	357	9299
37	362	9164
38	366	9039
39	373	8962
40	378	8844
41	384	8759
42	388	8650
43	393	8542
44	400	8504
45	405	8410
46	411	8343
47	416	8250
48	420	8167
49	426	8094
50	430	8009
51	436	7960
52	441	7894
53	448	7850
54	452	7781
55	458	7721
56	464	7682
57	469	7621
58	475	7579
59	480	7522
60	484	7464
61	490	7423
62	495	7365
63	500	7325
64	505	7270
65	510	7217
66	516	7185
67	520	7134
68	525	7089
69	530	7048
70	536	7014
71	542	6988
72	547	6952
73	553	6925
74	559	6899
75	566	6890
76	572	6861
77	579	6848
78	586	6832
79	593	6828
80	599	6797
81	605	6778
82	610	6740
83	614	6705
84	621	6686
85	625	6649
86	631	6628
87	637	6603
88	645	6604
89	650	6579
90	658	6577
91	664	6555
92	671	6551
93	679	6550
94	689	6566
95	698	6575
96	706	6573
97	714	6571
98	720	6558
99	728	6554
100	733	6531
101	743	6543
102	751	6543
103	756	6520
104	764	6519
105	770	6500
106	779	6508
107	786	6494
108	794	6494
109	802	6489
110	810	6491
111	817	6482
112	823	6462
113	830	6453
114	835	6430
115	842	6421
116	847	6396
117	854	6385
118	859	6362
119	864	6341
120	873	6345
121	879	6328
122	885	6315
123	891	6297
124	898	6292
125	904	6274
126	913	6282
127	922	6283
128	928	6267
129	935	6263
130	941	6245
131	950	6247
132	955	6230
133	963	6224
134	968	6206
135	975	6198
136	981	6180
137	988	6174
138	993	6155
139	1000	6147
140	1006	6129
141	1013	6126
142	1019	6108
143	1025	6098
144	1030	6079
145	1037	6069
146	1042	6049
147	1047	6030
148	1053	6018
149	1058	5997
150	1064	5984
151	1069	5963
152	1073	5942
153	1081	5938
154	1087	5926
155	1093	5915
156	1098	5896
157	1104	5886
158	1109	5866
159	1117	5864
160	1123	5854
161	1129	5843
162	1134	5826
163	1139	5810
164	1145	5798
165	1150	5778
166	1155	5765
167	1160	5748
168	1165	5730
169	1171	5721
170	1176	5704
171	1182	5694
172	1187	5678
173	1196	5677
174	1200	5660
175	1208	5655
176	1213	5642
177	1218	5625
178	1225	5618
179	1229	5601
180	1236	5593
181	1241	5578
182	1247	5570
183	1253	5559
184	1260	5551
185	1264	5534
186	1269	5520
187	1276	5511
188	1280	5495
189	1286	5485
190	1291	5471
191	1296	5455
192	1302	5446
193	1306	5429
194	1312	5419
195	1317	5405
196	1322	5390
197	1328	5382
198	1333	5365
199	1338	5355
200	1343	5341
201	1348	5327
202	1354	5317
203	1358	5301
204	1363	5288
205	1368	5275
206	1373	5260
207	1378	5249
208	1383	5235
209	1387	5221
210	1393	5211
211	1398	5197
212	1403	5185
213	1408	5171
214	1412	5157
215	1419	5150
216	1423	5136
217	1427	5122
218	1434	5115
219	1439	5102
220	1445	5094
221	1449	5081
222	1454	5067
223	1459	5057
224	1464	5044
225	1469	5034
226	1474	5020
227	1479	5008
228	1484	4999
229	1489	4986
230	1494	4975
231	1499	4963
232	1503	4950
233	1509	4942
234	1514	4929
235	1518	4916
236	1524	4908
237	1529	4897
238	1535	4888
239	1540	4877
240	1545	4865
